severity,subjects,components,date
Recall,Steering:linkages:link:drag:connection,Steering,1966-11-25
Recall,Brakes:hydraulic:power assist:booster,"Service Brakes, Hydraulic",1966-11-15
Recall,Brakes:hydraulic:master cylinder,"Service Brakes, Hydraulic",1966-10-20
Recall,Fuel:throttle linkages and control,N/A,1966-10-18
Recall,Tires:sidewall,Tires,1966-10-06
Recall,Interior systems:restraint:belt anchor and attachm,Seat Belts,1966-10-06
Recall,Brakes:hydraulic:pedal,"Service Brakes, Hydraulic",1966-10-06
Recall,Interior systems:tracks and anchors:front seat:pow,Seats,1966-10-06
Recall,Structure:body:wheel well,Structure,1966-10-06
Recall,Steering:manual:gear box,Steering,1966-10-06
Recall,Suspension:independent front:bearing wheel,Suspension,1966-10-06
Recall,Steering:linkages:sleeve:tie rod:adjustable,Steering,1967-11-21
Large Recall,Steering:wheel and column,Steering,1967-11-15
Large Recall,Steering:wheel and column,Steering,1967-11-15
Recall,Steering:wheel and column,Steering,1967-10-03
Recall,Suspension:independent front control arm:lower,Suspension,1967-09-19
Recall,Brakes:hydraulic:power assist:booster,"Service Brakes, Hydraulic",1967-09-12
Recall,Lighting:lighting concealment devices:headlights,Exterior Lighting,1967-06-20
Recall,Steering,N/A,1967-06-16
Recall,Suspension,N/A,1967-05-10
Recall,Equipment:jacks,Equipment,1967-05-10
Large Recall,Brakes:hydraulic:power assist:booster,"Service Brakes, Hydraulic",1967-02-23
Recall,Steering:wheel and column,Steering,1967-02-23
Recall,Suspension:independent front spindle:knuckle:steer,Steering,1967-01-31
Recall,Brakes:hydraulic:differential:proportional valve,"Service Brakes, Hydraulic",1968-12-03
Recall,Heater:unknown type:defroster:defogger:hose:duct:a,Visibility,1968-10-09
Recall,Brakes:hydraulic:lines:hose:non-metallic,"Service Brakes, Hydraulic",1968-09-30
Recall,Structure:body,Structure,1968-08-13
Recall,Brakes:hydraulic:power assist:booster,"Service Brakes, Hydraulic",1968-06-13
Recall,Lighting:general or unknown component:clearance li,N/A,1968-05-22
Recall,Lighting:lighting concealment devices:headlights,Exterior Lighting,1968-05-22
Recall,Steering,N/A,1968-04-02
Recall,Steering:linkages:arm:idler and attachment,Steering,1968-04-02
Recall,Steering:linkages:arm:idler and attachment,Steering,1968-03-07
Recall,Steering:wheel and column,Steering,1969-12-30
Recall,Brakes:air:drum and shoe systems:adjusters:slack,"Service Brakes, Air",1969-09-04
Recall,Interior systems:active restraints:belt retractors,Seat Belts,1969-09-04
Large Recall,Brakes:fluid:hydraulic (fluid contamination/wrong,"Service Brakes, Hydraulic",1969-08-15
Recall,Brakes:hydraulic:disc:rotor:disc hub,"Service Brakes, Hydraulic",1969-07-16
Large Recall,Structure:hood assembly:latches,Latches/locks/linkages,1969-06-02
Recall,Structure:door assembly:latches and locks,Latches/locks/linkages,1969-05-07
Recall,Suspension:independent front:bearing wheel,Suspension,1969-05-07
Recall,Fuel:throttle linkages:accelerator:flexible,Vehicle Speed Control,1969-05-07
Recall,Steering:power assist:hose:fluid,Steering,1969-04-10
Recall,Interior systems:seat tracks and anchors,N/A,1969-03-24
Recall,Fuel:throttle linkages and control,N/A,1970-11-10
Recall,Brakes:hydraulic:master cylinder:cover,"Service Brakes, Hydraulic",1970-11-10
Recall,Tires:cord,Tires,1970-09-25
Recall,Tires:tread,Tires,1970-09-25
Recall,Equipment:certification label,Equipment,1970-09-25
Recall,Structure:frame and members(give side/end),Structure,1970-09-25
Recall,Interior systems:restraint:belt anchor and attachm,Seat Belts,1970-09-25
Recall,Suspension:independent front control arm:lower,Suspension,1970-09-03
Recall,Interior systems:active restraints:belt retractors,Seat Belts,1970-05-12
Recall,Steering:column,Steering,1970-03-30
Recall,Interior systems:active seat and shoulder belts an,Seat Belts,1971-11-22
Recall,Steering:wheel and column,Steering,1971-10-20
Recall,Brakes:fluid:hydraulic (fluid contamination/wrong,"Service Brakes, Hydraulic",1971-10-04
Recall,Wheels:hub,Wheels,1971-09-17
Recall,Brakes:hydraulic:pedals and linkages,"Service Brakes, Hydraulic",1971-09-15
Recall,Equipment:jacks,Equipment,1971-09-15
Recall,Steering:unknown type:gear box,Steering,1971-08-02
Recall,Tires:cord,Tires,1971-08-02
Recall,Brakes:fluid:hydraulic (fluid contamination/wrong,"Service Brakes, Hydraulic",1971-06-30
Recall,Brakes:fluid:hydraulic (fluid contamination/wrong,"Service Brakes, Hydraulic",1971-06-28
Recall,Interior systems:active restraints:belt retractors,Seat Belts,1971-05-26
Recall,Structure:frame:members and body:truck,N/A,1971-04-16
Large Recall,Fuel:carburetor:unknown type:cleaner,"Fuel System, Gasoline",1971-04-06
Recall,Steering:unknown type:gear box,Steering,1971-02-19
Recall,Brakes:hydraulic:lines:metallic,"Service Brakes, Hydraulic",1971-02-19
Recall,Brakes:hydraulic:power assist:booster,"Service Brakes, Hydraulic",1971-02-19
Recall,Brakes:hydraulic:lines:metallic,"Service Brakes, Hydraulic",1971-02-19
Recall,Tires:sidewall,Tires,1971-02-16
Recall,Emergency parking brake:air:lines and fittings,Parking Brake,1972-12-27
Recall,Fuel:carburetor:unknown type:other part,"Fuel System, Gasoline",1972-11-08
Recall,Brakes:hydraulic:lines:hose:non-metallic,"Service Brakes, Hydraulic",1972-11-07
Recall,Steering:power assist,Steering,1972-10-25
Large Recall,Steering:power:gear box,Steering,1972-09-29
Recall,Suspension:independent front:bearing wheel,Suspension,1972-08-24
Recall,Interior systems:shoulder belts,Seat Belts,1972-07-21
Recall,Interior systems:active seat and shoulder belts an,Seat Belts,1972-07-21
Recall,Fuel:fuel lines fittings and pump,"Fuel System, Gasoline",1972-07-05
Large Recall,Interior systems:shoulder belts,Seat Belts,1972-06-29
Large Recall,Structure:bumper assembly,Structure,1972-06-29
Recall,Interior systems:seat belts:lap:rear,Seat Belts,1972-06-19
Recall,Suspension:tandem axle:rear:support equalizing bea,Suspension,1972-06-13
Large Recall,Power train:axle assembly:bearing:axle shaft,Power Train,1972-04-26
Recall,Steering:column,Steering,1972-04-03
Recall,Structure:hood assembly:latches,Latches/locks/linkages,1972-03-13
Recall,Equipment:tire reserve load label (glove compartme,Equipment,1972-03-02
Recall,Steering:wheel and column,Steering,1972-02-28
Recall,Brakes:hydraulic:lines:metallic,"Service Brakes, Hydraulic",1972-01-31
Recall,Electrical system:wiring:harness:front:underhood,Electrical System,1973-12-20
Recall,Electrical system:wiring:other part,Electrical System,1973-11-12
Recall,Power train:transmission:automatic:lever and linka,Power Train,1973-11-12
Recall,Brakes:air systems:lines:hose:non-metallic,"Service Brakes, Air",1973-10-30
Recall,Power train:transmission:automatic,Power Train,1973-09-05
Recall,Electrical system:starter,Electrical System,1973-08-28
Recall,Steering:column coupling,Steering,1973-07-30
Recall,Interior systems:restraint:belt anchor and attachm,Seat Belts,1973-05-21
Recall,Fuel:fuel lines:hoses:non-metallic,"Fuel System, Gasoline",1973-05-04
Recall,Tires,N/A,1973-03-29
Recall,Steering:linkages:arm:idler and attachment,Steering,1973-03-12
Recall,Fuel:fuel tank assembly,"Fuel System, Gasoline",1973-03-12
Recall,Brakes:air systems:lines:hose:non-metallic,"Service Brakes, Air",1973-03-05
Recall,Power train:driveline:shaft chain:propellor:drive,Power Train,1973-02-27
Recall,Brakes:air systems:air supply:check valve,"Service Brakes, Air",1973-02-16
Recall,Brakes:hydraulic:lines:hose:non-metallic,"Service Brakes, Hydraulic",1973-02-16
Recall,Brakes:hydraulic:lines:metallic,"Service Brakes, Hydraulic",1973-02-13
Recall,Suspension:tandem axle:rear:support equalizing bea,Suspension,1973-02-12
Recall,Structure:tailgate assembly:hinge and attachments,Structure,1973-01-24
Recall,Equipment:other pieces:trailer hitches and attachm,N/A,1973-01-05
Recall,Suspension:i-beam:solid:front spindle:knuckle,Steering,1974-12-09
Recall,Power train:axle assembly:housing:axle shaft,Power Train,1974-12-09
Recall,Brakes:air systems:fittings:metallic,"Service Brakes, Air",1974-12-02
Recall,Suspension:independent front control arm:upper,Suspension,1974-11-26
Recall,Electrical system:wiring:harness:front:underhood,Electrical System,1974-09-24
Recall,Steering:column coupling,Steering,1974-09-17
Recall,Brakes:hydraulic:linkage:pedal,"Service Brakes, Hydraulic",1974-09-05
Recall,Brakes:hydraulic:linkage:pedal,"Service Brakes, Hydraulic",1974-09-05
Recall,Brakes:hydraulic:lines:hose:non-metallic,"Service Brakes, Hydraulic",1974-09-05
Recall,Heater:water:defroster:defogger,Visibility,1974-09-04
Recall,Interior systems:seat belts:lap:rear,Seat Belts,1974-08-26
Recall,Fuel:carburetor:four:barrel,"Fuel System, Gasoline",1974-08-13
Recall,Steering:power assist:pump,Steering,1974-08-13
Recall,Tires:tread,Tires,1974-08-01
Recall,Brakes:hydraulic:power assist:booster,"Service Brakes, Hydraulic",1974-06-17
Recall,Interior systems:front split back seat latch,Seats,1974-06-05
Recall,Structure:frame:members and body:other parts,N/A,1974-04-22
Recall,Heater:combustion(gas):defroster:defogger,Visibility,1974-04-04
Recall,Interior systems:seat belts:lap:rear,Seat Belts,1974-03-25
Recall,Fuel:carburetor:unknown type:other part,"Fuel System, Gasoline",1974-02-25
Large Recall,Equipment:speed control,N/A,1974-01-16
Recall,Brakes:control assembly (computer),"Service Brakes, Air",1975-12-29
Recall,Heater:water:defroster:defogger,Visibility,1975-12-18
Recall,Suspension:independent front attaching mechanisms:,N/A,1975-10-01
Recall,Emergency parking brake:mechanical:linkages and ca,Parking Brake,1975-09-08
Recall,Power train:axle assembly:housing:axle shaft,Power Train,1975-08-05
Recall,Brakes:hydraulic:disc:caliper,"Service Brakes, Hydraulic",1975-07-17
Recall,Fuel:carburetor:four:barrel:other part,"Fuel System, Gasoline",1975-05-29
Recall,Equipment:tire reserve load label (glove compartme,Equipment,1975-05-19
Recall,Brakes:hydraulic:lines:hose:non-metallic,"Service Brakes, Hydraulic",1975-05-19
Recall,Equipment:vehicle identification number and plate,Equipment,1975-05-16
Recall,Brakes:hydraulic:linkage:pedal,"Service Brakes, Hydraulic",1975-05-12
Recall,Brakes:air control valve,"Service Brakes, Air",1975-05-12
Recall,Power train:transmission:automatic,Power Train,1975-05-05
Recall,Suspension:single axle:rear:control arm,Suspension,1975-04-23
Recall,Brakes:hydraulic:linkage:pedal,"Service Brakes, Hydraulic",1975-04-16
Large Recall,Fuel:carburetor:other part,"Fuel System, Gasoline",1975-03-04
Large Recall,Fuel:carburetor:four:barrel:other part,"Fuel System, Gasoline",1975-03-04
Large Recall,Interior systems:seat belts:lap:front,Seat Belts,1975-01-03
Recall,Equipment:certification label,Equipment,1976-11-23
Recall,Suspension:independent front control arm:upper,Suspension,1976-11-16
Recall,Interior systems:restraint:belt anchor and attachm,Seat Belts,1976-11-09
Large Recall,Fuel:fuel lines:hoses:non-metallic,"Fuel System, Gasoline",1976-10-29
Recall,Steering:gear box,Steering,1976-10-18
Recall,Fuel:carburetor:double:barrel,"Fuel System, Gasoline",1976-09-14
Recall,Visual systems:windshield washer,Visibility,1976-09-14
Recall,Interior systems:bench:back rest,Seats,1976-09-07
Recall,Interior systems:front bucket seat latch,Seats,1976-07-20
Recall,Air conditioner,Equipment,1976-07-02
Recall,Brakes:hydraulic:lines:metallic,"Service Brakes, Hydraulic",1976-06-01
Large Recall,Fuel:throttle linkages:accelerator:flexible,Vehicle Speed Control,1976-04-29
Recall,Interior systems:seat belts:lap:front,Seat Belts,1976-04-09
Recall,Steering:power:gear box,Steering,1976-03-25
Recall,Suspension:i-beam:solid:front hanger:bracket,Suspension,1976-03-03
Recall,Brakes:hydraulic:power assist:other,"Service Brakes, Hydraulic",1976-02-27
Recall,Exhaust system:muffler:resonator,Engine And Engine Cooling,1976-02-09
Recall,Steering:wheel and column,Steering,1976-01-26
Recall,Lighting:lamp or socket:park lights,N/A,1977-12-28
Recall,Air conditioner:motor:fan,Equipment,1977-12-15
Recall,Air conditioner:motor:fan,Equipment,1977-12-15
Recall,Fuel:fuel tank assembly:tank,"Fuel System, Gasoline",1977-12-15
Recall,Steering:manual:gear box,Steering,1977-12-14
Recall,Equipment:speed control,N/A,1977-11-25
Recall,Fuel:throttle linkages:accelerator:flexible,Vehicle Speed Control,1977-11-15
Recall,Visual systems:glass:window:tailgate and back door,Visibility,1977-11-15
Recall,Fuel:carburetor:single:other part,"Fuel System, Gasoline",1977-11-15
Recall,Wheels:lugs:nuts:bolts,Wheels,1977-11-15
Recall,Power train:transmission:automatic:lever and linka,Power Train,1977-10-25
Recall,Steering:linkages:sleeve:tie rod:adjustable,Steering,1977-10-25
Recall,Tires:markings,Tires,1977-10-25
Recall,Interior systems:active seat and shoulder belts an,Seat Belts,1977-10-25
Recall,Steering:linkages:arm:pitman,Steering,1977-10-12
Recall,Power train:transmission:automatic:lever and linka,Power Train,1977-10-12
Recall,Fuel:throttle linkages and control:cam:fast idle,N/A,1977-09-23
Recall,Brakes:service brakes,N/A,1977-09-22
Recall,Brakes:hydraulic:disc:rotor:disc hub,"Service Brakes, Hydraulic",1977-09-22
Recall,Suspension:single axle:rear,Suspension,1977-09-22
Large Recall,Fuel:fuel tank assembly:cap:filler,"Fuel System, Gasoline",1977-09-15
Recall,Power train:transmission:automatic:lever and linka,Power Train,1977-09-13
Recall,Fuel:fuel lines:hoses:non-metallic,"Fuel System, Gasoline",1977-09-13
Recall,Interior systems:tracks and anchors:rear seat,Seats,1977-08-29
Large Recall,Engine cooling system:fan,Engine And Engine Cooling,1977-08-16
Recall,Structure:bumper assembly:attachments/support bars,Structure,1977-07-28
Large Recall,Interior systems:instrument panel:material and pad,N/A,1977-06-27
Large Recall,Engine cooling system:fan,Engine And Engine Cooling,1977-06-20
Recall,Fuel:fuel tank assembly:attachments,"Fuel System, Gasoline",1977-06-02
Recall,Tires,N/A,1977-05-02
Recall,Fuel:fuel lines:hoses:non-metallic,"Fuel System, Gasoline",1977-04-12
Recall,Structure:door assembly:latches and locks,Latches/locks/linkages,1977-04-05
Large Recall,Interior systems:bucket:back rest,Seats,1977-03-28
Recall,Suspension:i-beam:solid:front u-bolt:spring to i-b,Suspension,1977-03-14
Recall,Steering:linkages:knuckle:spindle:arm,Steering,1977-01-27
Recall,Steering:power:shaft sector,Steering,1978-12-21
Recall,Steering:power assist:hose:fluid,Steering,1978-12-20
Recall,Power train:transmission:automatic,Power Train,1978-11-27
Recall,Wheels:single,N/A,1978-10-23
Large Recall,Engine cooling system:fan,Engine And Engine Cooling,1978-10-17
Recall,Wheels:single,N/A,1978-10-11
Recall,Interior systems:seat belts:lap:rear,Seat Belts,1978-10-05
Recall,Engine cooling system:fan,Engine And Engine Cooling,1978-10-04
Recall,Steering:column coupling,Steering,1978-10-04
Recall,Engine cooling system:fan,Engine And Engine Cooling,1978-10-04
Recall,Lighting:lamp or socket:tail lights,Exterior Lighting,1978-09-25
Large Recall,Exhaust/crankcase emission control:check valve,Engine And Engine Cooling,1978-09-21
Recall,Power train:transmission:automatic,Power Train,1978-09-15
Recall,Fuel:fuel tank assembly:attachments,"Fuel System, Gasoline",1978-09-11
Recall,Electrical system:fuse and recepticle:circuit brea,Electrical System,1978-09-11
Recall,Brakes:hydraulic:lines:hose:non-metallic,"Service Brakes, Hydraulic",1978-09-11
Recall,Steering:column:tilt,Steering,1978-08-24
Large Recall,Visual systems:windshield wiper linkage:pivot:driv,Visibility,1978-08-15
Large Recall,Visual systems:windshield wiper linkage:pivot:driv,Visibility,1978-08-07
Recall,Interior systems:active restraints:belt retractors,Seat Belts,1978-08-07
Recall,Visual systems:glass:windshield,Visibility,1978-07-25
Large Recall,Engine cooling system:fan,Engine And Engine Cooling,1978-07-03
Recall,Fuel:fuel lines:hoses:non-metallic,"Fuel System, Gasoline",1978-06-27
Large Recall,Fuel:fuel tank assembly,"Fuel System, Gasoline",1978-06-19
Recall,Power train:transmission:automatic:lever and linka,Power Train,1978-06-19
Large Recall,Interior systems:active restraints:belt retractors,Seat Belts,1978-05-15
Recall,Steering:linkages,Steering,1978-05-15
Recall,Power train:transmission:automatic,Power Train,1978-04-28
Large Recall,Structure:bumper assembly,Structure,1978-04-04
Recall,Interior systems:active restraints:belt retractors,Seat Belts,1978-03-08
Recall,Tires,N/A,1978-03-06
Recall,Power train:transmission:automatic:lever and linka,Power Train,1978-02-16
Recall,Steering:column coupling,Steering,1978-01-30
Recall,Wheels:single,N/A,1978-01-30
Recall,Wheels:multiple,Wheels,1978-01-30
Large Recall,Electrical system:wiring:harness:under dash,Electrical System,1978-01-10
Recall,Engine cooling system:fan,Engine And Engine Cooling,1978-01-10
Recall,Visual systems:glass:windshield,Visibility,1979-12-27
Large Recall,Interior systems:split:back rest,Seats,1979-12-20
Large Recall,Power train:transmission:4 speed:lever and linkage,Power Train,1979-12-20
Recall,Power train:transmission:automatic:lever and linka,Power Train,1979-12-18
Recall,Brakes:hydraulic:shoe and drum wheel cylinders,"Service Brakes, Hydraulic",1979-12-18
Recall,Suspension:tandem axle:rear:support equalizing bea,Suspension,1979-12-04
Large Recall,Structure:bumper assembly:attachments/support bars,Structure,1979-11-16
Recall,Brakes:hydraulic:disc:rotor:disc hub,"Service Brakes, Hydraulic",1979-11-02
Recall,Power train:axle assembly:shaft axle,Power Train,1979-10-26
Recall,Brakes:hydraulic:switch:brake light,Exterior Lighting,1979-09-25
Recall,Lighting:switch:button:ring:head lights,Exterior Lighting,1979-09-18
Recall,Wheels:single,N/A,1979-09-17
Recall,Wheels:multiple,Wheels,1979-09-11
Recall,Wheels:single,N/A,1979-08-07
Recall,Air conditioner:switch:fan,Equipment,1979-07-03
Recall,Brakes:hydraulic:lines:hose:non-metallic,"Service Brakes, Hydraulic",1979-06-19
Recall,Structure:shields:protectors:lines:tubing,Structure,1979-06-19
Recall,Structure:frame and members(give side/end),Structure,1979-05-15
Recall,Brakes:hydraulic:linkage:pedal,"Service Brakes, Hydraulic",1979-05-15
Large Recall,Brakes:hydraulic:lines:hose:non-metallic,"Service Brakes, Hydraulic",1979-04-30
Recall,Brakes:hydraulic:lines:metallic,"Service Brakes, Hydraulic",1979-04-30
Recall,Engine cooling system:fan,Engine And Engine Cooling,1979-04-05
Recall,Brakes:control assembly (computer),"Service Brakes, Air",1979-03-29
Recall,Brakes:air systems:pedal,"Service Brakes, Air",1979-03-06
Recall,Equipment:tire reserve load label (glove compartme,Equipment,1979-03-01
Recall,Steering:column coupling,Steering,1979-02-22
Recall,Brakes:air systems:lines:hose:non-metallic,"Service Brakes, Air",1979-02-22
Recall,Steering:linkages:knuckle:spindle:arm,Steering,1979-01-29
